0,1,2,3,4,5
1632275171614,66.8,24.44,6.2,20,7.1083984
1632275178685,74.5,24.44,6.0,25,18.855469
1632275185760,67.2,24.44,6.2272725,22,6.932617
1632275192849,63.8,24.44,6.105263,19,7.708008
1632275199921,73.6,24.47,5.95,20,7.6484375
1632275206980,73.1,24.47,6.48,25,7.850586
1632275214038,68.8,24.44,6.142857,21,19.076172
1632275221155,68.2,24.47,6.12,25,6.3759766
1632275228216,80.5,24.44,6.0,31,7.098633
1632275235263,65.5,24.44,1130.0,16,6.0351562
1632275242332,65.0,24.44,6.0,23,7.6904297
1632275249416,79.0,24.47,6.15,20,18.16211
1632275256498,65.3,24.47,6.173913,23,6.9404297
1632275263597,66.7,24.44,6.304348,23,7.3154297
1632275270683,72.1,24.44,9.304348,23,5.6396484
1632275277738,70.0,24.47,6.0344825,29,12.453125
1632275284816,68.5,24.47,6.133333,30,6.779297
1632275291906,61.0,24.47,6.25,32,6.3154297
1632275299040,71.0,24.44,6.294118,17,18.558594
1632275306099,77.0,24.47,6.1153846,26,8.114258
1632275313163,68.7,24.47,6.2,30,5.868164
1632275320260,70.1,24.47,6.3333335,21,5.758789
1632275327333,79.2,24.44,6.647059,17,6.9277344
1632275334395,67.8,24.47,7.4642854,28,18.932617
1632275341470,64.7,24.44,6.235294,17,4.7998047
1632275348545,71.4,24.44,6.4545455,22,6.057617
1632275355610,71.2,24.47,6.2608695,23,6.3251953
1632275362678,69.0,24.47,6.2916665,24,7.7802734
1632275369762,70.0,24.44,6.0,21,5.989258
1632275376814,80.0,24.44,6.090909,22,7.1904297
1632275383877,70.1,24.44,6.1785717,28,20.461914
1632275390937,64.8,24.44,6.214286,28,5.033203
1632275398038,68.8,24.47,6.736842,19,6.194336
1632275405103,73.8,24.44,6.230769,13,6.4335938
1632275412179,64.0,24.44,6.095238,21,7.198242
1632275419259,71.8,24.44,6.2222223,27,19.198242
1632275426322,72.6,24.47,6.16,25,5.3623047
1632275433400,63.8,24.47,6.3,20,6.2509766
1632275440459,71.6,24.47,6.409091,22,7.0302734
1632275447522,77.4,24.44,6.3333335,18,8.600586
1632275454599,70.2,24.47,6.2727275,22,17.264648
1632275461667,67.5,24.47,6.1578946,19,8.108398
1632275468740,66.8,24.44,6.2,25,18.670898
1632275475798,74.4,24.44,6.133333,30,5.6904297
1632275482876,73.0,24.47,6.181818,22,7.711914
1632275489938,76.1,24.47,6.32,25,5.754883
1632275497003,69.3,24.47,6.4545455,33,6.251953
1632275504085,66.5,24.44,6.2068963,29,19.356445
1632275511154,70.9,24.44,6.2222223,27,6.385742
1632275518220,76.5,24.44,7.0,27,7.1777344
1632275525302,68.5,24.44,7.322581,31,6.647461
1632275532382,68.2,24.44,6.3076925,26,8.485352
1632275539458,76.4,24.44,6.764706,17,18.672852
1632275546512,70.5,24.44,6.25,24,5.541992
1632275553625,63.6,24.44,6.5333333,15,5.4814453
1632275560713,70.0,24.44,6.3333335,15,7.2060547
1632275567771,79.5,24.47,6.3214283,28,7.7685547
1632275574844,69.0,24.44,6.25,28,8.108398
1632275581944,62.5,24.44,6.357143,28,7.3310547
1632275589032,68.7,24.44,6.3703704,27,20.06543
1632275596099,71.5,24.44,6.3913045,23,6.256836
1632275603174,67.8,24.44,6.230769,13,5.3115234
1632275610268,66.3,24.44,1630.0,24,5.8154297
1632275617339,67.5,24.47,6.5833335,24,8.422852
1632275624414,68.2,24.44,6.3076925,26,17.768555
1632275631489,66.0,24.44,6.3333335,21,5.692383
1632275638547,69.3,24.44,6.34375,32,5.5966797
1632275645627,67.7,24.44,6.3846154,13,6.5322266
1632275652704,76.0,24.44,6.3461537,26,8.208008
1632275659763,75.4,24.44,6.3461537,26,7.272461
1632275666853,67.5,24.44,6.296296,27,7.0927734
1632275673944,67.0,24.47,6.5,24,19.22754
1632275681000,72.4,24.47,6.3214283,28,6.3623047
1632275688051,69.2,24.47,6.3333335,24,7.4414062
1632275695114,67.3,24.47,6.409091,22,6.854492
1632275702188,72.5,24.47,6.5,22,7.477539
1632275709276,76.4,24.47,6.4117646,34,18.213867
1632275716353,65.0,24.47,6.3076925,13,7.5507812
1632275723445,65.5,24.47,6.3103447,29,6.711914
1632275730506,75.5,24.47,6.3448277,29,5.8720703
1632275737593,69.3,24.47,6.6363635,22,8.036133
1632275744715,67.7,24.47,6.3913045,23,8.686523
1632275751785,77.0,24.47,6.4285717,21,4.975586
1632275758843,69.8,24.47,6.529412,17,18.670898
1632275765908,68.2,24.47,6.8636365,22,8.292969
1632275772965,73.4,24.47,6.3809524,21,8.266602
1632275780024,73.3,24.47,6.48,25,5.7509766
1632275787097,68.2,24.47,6.5,20,8.041016
1632275794180,70.1,24.47,6.4,20,19.057617
1632275801241,70.0,24.47,6.2380953,21,7.713867
1632275808316,64.3,24.47,6.4,25,7.1279297
1632275815395,75.0,24.47,6.35,20,6.3251953
1632275822455,73.2,24.44,6.5384617,26,7.5341797
1632275829512,68.7,24.47,6.483871,31,19.109375
1632275836572,62.0,24.47,6.5625,16,6.198242
1632275843646,61.5,24.47,6.347826,23,197.12207
1632275850739,74.1,24.47,6.5263157,19,5.870117
1632275857819,74.3,24.47,6.318182,22,7.53125
1632275864892,66.5,24.47,6.695652,23,7.2666016
1632275871969,67.5,24.47,6.4166665,24,6.756836
1632275879023,69.2,24.47,6.4,30,20.30371
1632275886092,72.9,24.47,6.866667,30,6.973633
1632275893145,74.9,24.47,6.40625,32,5.9248047
1632275900216,74.3,24.47,6.5625,16,5.3632812
1632275907290,68.3,24.47,6.5833335,24,9.131836
1632275914366,68.0,24.47,6.40625,32,19.055664
1632275921446,71.0,24.47,6.6666665,21,6.084961
1632275928515,69.5,24.47,6.529412,17,5375.0
1632275935564,67.0,24.47,7.5714283,28,6.645508
1632275942629,70.6,24.47,6.5882354,17,6.1884766
1632275949700,74.0,24.47,6.45,20,18.217773
1632275956773,67.0,24.47,6.56,25,5.7578125
1632275963855,71.9,24.47,1630.0,24,18.03418
1632275970937,69.0,24.44,6.3636365,22,5.873047
1632275978024,65.0,24.44,6.4761906,21,9.613281
1632275985123,67.3,24.44,6.5172415,29,7.6328125
1632275992187,69.8,24.47,6.357143,28,6.928711
1632275999272,73.9,24.44,6.529412,17,19.157227
1632276006342,70.8,24.44,6.6666665,15,6.995117
1632276013443,65.8,24.44,6.8421054,19,6.663086
1632276020543,69.3,24.44,7.259259,27,6.770508
1632276027608,71.5,24.47,6.6,25,7.413086
1632276034677,66.2,24.47,6.7727275,22,18.100586
1632276041770,70.0,24.47,6.5,22,7.8476562
1632276048848,72.0,24.47,6.705882,17,19.055664
1632276055910,63.7,24.47,6.4545455,22,6.2617188
1632276062972,67.3,24.44,7.1578946,19,8.9296875
1632276070042,75.4,24.47,6.44,25,6.260742
1632276077110,70.6,24.47,6.4,30,5.736328
1632276084207,66.7,24.47,7.0,23,18.38379
1632276091280,78.6,24.47,1630.0,24,6.3154297
1632276098343,72.5,24.47,6.5625,32,6.2529297
1632276105431,67.2,24.47,6.5333333,30,6.2089844
1632276112547,69.3,24.44,6.5714283,28,8.09668
1632276119603,75.8,24.47,6.9615383,26,18.66504
1632276126667,66.7,24.47,6.419355,31,7.6064453
1632276133746,66.7,24.44,6.3703704,27,17.942383
1632276140854,73.3,24.47,6.647059,17,6.314453
1632276147949,71.5,24.47,6.5833335,24,7.526367
1632276155089,72.3,24.47,6.5333333,15,5.4228516
1632276162153,71.0,24.44,6.4,15,8.526367
1632276169222,70.5,24.44,6.3214283,28,19.057617
1632276176309,65.7,24.47,6.3703704,27,8.796875
1632276183421,72.5,24.44,6.3793106,29,6.977539
1632276190494,68.3,24.44,6.3333335,27,7.2783203
1632276197567,70.2,24.44,6.3913045,23,7.711914
1632276204626,72.9,24.47,6.3333335,12,17.944336
1632276211692,68.7,24.44,6.52,25,5.739258
1632276218787,67.8,24.47,6.5,24,19.77246
1632276225849,73.0,24.44,6.3076925,26,4.975586
1632276232927,77.5,24.44,6.4761906,21,6.7001953
1632276240001,72.4,24.44,6.34375,32,5.421875
1632276247086,74.4,24.47,6.230769,13,5.9208984
1632276254208,71.0,24.47,6.4615383,26,19.163086
1632276261268,68.3,24.44,6.269231,26,7.0341797
1632276268364,75.0,24.47,6.5925927,27,7.4384766
1632276275436,71.5,24.47,6.5833335,24,6.7685547
1632276282529,65.5,24.47,6.5,28,7.2578125
1632276289616,65.8,24.47,6.4166665,24,18.286133
1632276296702,76.0,24.47,6.318182,22,5.2490234
1632276303773,69.2,24.47,6.347826,23,18.506836
1632276310872,68.0,24.47,6.3333335,33,5.6308594
1632276317947,78.3,24.47,6.3076925,13,9.875977
1632276325009,70.9,24.47,6.3103447,29,6.5341797
1632276332097,66.5,24.47,6.2413793,29,5.7529297
1632276339167,75.3,24.47,6.181818,22,19.110352
1632276346239,74.5,24.47,6.4347825,23,7.9873047
1632276353284,65.7,24.47,6.3809524,21,4.975586
1632276360363,66.7,24.47,8.470588,17,6.5498047
